step,dt,imu_dx,imu_dy,imu_dz,imu_droll,imu_dpitch,imu_dyaw,gnss_x,gnss_y,gnss_z,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw
0,0.029597811,-8.558732275687893e-06,-9.839395524292662e-05,5.7897306570829864e-05,0.0008151992224156857,0.00013298197882249943,-0.00058371463092044,-0.8497277788373351,-0.502376790868776,-0.5478591305239459,-0.07739086449146271,0.0051404573023319244,-0.0005954504013061523,0.0003882205794485122,0.0032907154545070423,0.04714336087667644
1,0.029597811,-8.558732275687893e-06,-9.839395524292662e-05,5.7897306570829864e-05,-0.00018810341134667397,-0.0013947985135018826,0.00044500231160782294,0.10949198166487173,-0.16886896555058248,0.08794439929052601,-0.077391117811203,0.005137545056641102,-0.0005937367677688599,0.0004477723350274057,0.0033887312412850005,0.04706816938319024
2,0.009845297000000001,0.00018011017667297094,-0.000138866459745757,0.0003102738337643617,0.000540408305823803,-0.00023709645029157406,-0.0004568791482597589,0.5127404549900155,0.6056917625081395,0.3320378673342855,-0.07738934457302094,0.005136177875101566,-0.0005906820297241211,0.00036528053745557364,0.003241894522153703,0.047192158559681556
3,0.010603054,0.0004258256009764583,-0.0004303930372905622,-5.059314071007425e-05,0.0003702286630868912,-0.00011161388829350474,-0.00020513890194706616,-0.39292284817887096,-0.5233209828821399,-0.5709610936088908,-0.0773848295211792,0.0051316143944859505,-0.0005912184715270996,0.0004642629352211644,0.003395493576767258,0.047133408820564576
4,0.009692018,-0.001548229617630156,-1.5086398334653332e-05,-0.000570400385442689,0.000367690809071064,-0.0001818950986489653,0.0003931765095330775,-0.31809823544648386,-0.03083459747401182,-0.6811883209643799,-0.0773998349905014,0.005131468176841736,-0.0005967468023300171,0.00042451120002586444,0.003504552358941469,0.04709022891407663
5,0.019942081,0.0007950441837165291,-0.0007078994206282395,-0.00048195817527928696,-4.589557647705078e-05,-0.00016455259174108508,-0.00016619078814983365,-0.871525253224907,0.21911100477224776,-1.296785879092433,-0.07738398015499115,0.005117351189255714,-0.0006063580513000488,0.000398583014598874,0.003532466460529155,0.04715753550747955
6,0.019979745,-0.00023269377524490271,0.0002225320679124931,-7.085227130854409e-05,0.0006001908332109451,0.00040806317701935757,-0.0006873682723380625,-0.20132608503850635,0.30319976441726787,-0.6903566981426413,-0.07738862931728363,0.005121797323226929,-0.0006077736616134644,0.0004778116695326567,0.003394814739172248,0.04712918951643098
7,0.020234624,0.0007334733054131505,3.20802518745586e-05,0.00044258780778444126,-0.0007323678582906723,-0.000551932374946773,0.0001902015792438761,-0.8564416792060303,-0.527315776250727,0.4530183941217826,-0.07737378776073456,0.005122446455061436,-0.0005988180637359619,0.000496894813604045,0.0033920627208242683,0.04714107898782239
8,0.020212326000000003,-0.0003767252403338513,-8.750015061081013e-05,-0.0009856783685447343,-0.0007634465582668781,0.00033727177651599055,0.0006037232233211398,-0.16826335174216034,-1.3035973851157057,-0.29696311778435963,-0.07738140225410461,0.005120677873492241,-0.0006187409162521362,0.0003971321097560318,0.0032531165022831724,0.047106730959625656
9,0.019386698,-0.0004534905894944109,0.0002323178486011622,-0.0003996866212493113,-9.934883564710617e-05,0.0002835136838257313,0.00013348838547244665,0.6323375659193895,0.6937259228957398,0.44040287599083777,-0.07739019393920898,0.005125181749463081,-0.000626489520072937,0.0004784051075953505,0.0032703705600850906,0.047111079982897146
10,0.020656131,0.0008447496657527784,-0.00025388478692644616,0.0004609692881434888,0.00042120320722460747,0.00010173441842198368,-0.000303231761790812,-0.24401390826199362,-1.286337975694922,0.11808744268337995,-0.07737274467945099,0.005119937472045422,-0.0006169676780700684,0.0003524751961729832,0.003414981653708543,0.04714374931355652
11,0.019770248,-0.0012180057877502503,0.0007963956469564408,0.0003135460443713516,-0.00011266116052865982,0.000534255406819284,5.721820343751395e-06,-0.20058125993040454,0.058895587553153515,1.0790021089019286,-0.07739682495594025,0.005135682411491871,-0.0006107687950134277,0.000379447359367137,0.003331559248228836,0.047124497509787956
12,0.020683908,0.0027368866355152637,-0.00048470953920969024,0.00202294753159433,-0.0006699520163238049,-0.0002134088426828384,0.0002526923781260848,0.05123826160993242,0.19855932457209907,0.42299931466442386,-0.07734021544456482,0.005125656723976135,-0.0005689263343811035,-0.0005501051500826982,0.0019313373512896605,0.047845380712704694
13,0.019372490000000003,-0.0019375942404565567,0.0005254060999888276,-0.001986822518102138,0.0006647934205830097,0.0007650557090528309,-1.051975414156923e-05,-0.2569759862811205,-0.45991360032325873,-0.5167685484826622,-0.07737775146961212,0.005135835148394108,-0.000607416033744812,0.0003432453538572058,0.0031927752952716545,0.04719142241162162
14,0.020228037,-3.9779574482080166e-05,0.0002853631974999223,0.0005407075494416082,0.00042669055983424187,-0.00026169011835008854,0.00032273153192363685,0.4594979832641599,0.3583284933225282,-0.343279008865009,-0.07737855613231659,0.0051416074857115746,-0.0005964785814285278,0.00047625214746970364,0.0033584271068429414,0.047192715750825925
15,0.01947329,-0.0001660506251930178,-0.0004911693320081488,-0.0008333139669824718,0.000910674687474966,0.00013237097300589076,-0.0005953838699497283,0.7295049331570804,0.13416407932350807,-0.9387655760408133,-0.07738178968429565,0.005132042802870274,-0.0006127059459686279,0.0003906456666782504,0.0032284021556216592,0.04717966527983106
16,0.02010199,2.5944726954130807e-05,0.0004430525426113445,0.0009117718329594541,-0.0006387927569448948,-0.0005813870811834931,-1.3408724043983895e-05,0.3467340076705526,-0.09249902584057247,-0.9307556547412581,-0.07738126814365387,0.005140949040651321,-0.0005943775177001953,0.0003881459605804993,0.003145408994949657,0.04713382636256355
17,0.020462437,-0.001106166575049423,-0.0005355604875167281,0.00032697089677234426,0.0003019501455128193,0.0003061824245378375,-0.0001594217319507152,0.28343548907523963,-0.23624157221834813,-0.275227508812758,-0.07740390300750732,0.005129990167915821,-0.0005876868963241577,0.00040859856308758435,0.003288726762010424,0.047147666115344676
18,0.019511529,0.0008943050930552704,0.00020042629620725235,0.00020391072574360136,-0.00020993361249566078,-0.00023658713325858113,0.00019459734903648498,0.33554068784689767,-1.5296138067499225,-0.8946938645836341,-0.07738645374774933,0.0051339007914066315,-0.0005837082862854004,0.00043693539908601917,0.003347169708733943,0.04713161354444166
